,Cod,Nombre,Descripcion ,Stock,Tipo
0,1,Cethapil loción limpiadora ,"Limpiador líquido, brinda una limpieza profunda sin resecar ni irritar la piel, manteniéndola suave y tersa.",15,Crema
1,2,Crema Pond´s Rejuveness 50 G Tarro,"La crema antiarrugas Pond´s Rejuveness desarrollada con una fórmula avanzada que activa la firmeza y ayuda a reducir la aparición de arrugas de afuera hacia dentro, para una piel firme y joven por fuera.",13,Crema
2,3,Crema anti-edad Cicatricure," Ayuda a reducir y prevenir líneas de expresión, bolsas, arrugas y ojeras gradualmente. ",25,Crema
3,4,La roche Posay Retinol B3 Serum,"Concentrado anti-arrugas que regenera y unifica la textura de la piel, incluso para pieles sensibles.",6,Crema
4,5,Crema Active Repair Institut Esthederm ,Crema Corrección de Arrugas Active Repair reestructura y regenera intensamente la piel a la vez que proporciona luminosidad y brillo duraderos,10,Crema
5,6,Bassa Velvet Sunscreen Face Color Bloq Solar ,"Revolucionario bloqueador solar facial en gel que cuenta con tecnología segunda piel, una capa de protección invisible, con textura aterciopelada, no grasosa, de rápida absorción y excelente esparcibilidad",3,Crema
6,7,Crema La Roche Posay Redermic Hyalu,"Redermic C combina un 5% de Vitamina C pura, un ingrediente activo líder en antienvejecimiento, y la Madecasosida, un ingrediente activo purificado al 95% reconocido por sus propiedades reparadoras de la piel, para intensificar la síntesis de las fibras de relleno y de sostén de la piel",16,Crema
7,8,Crema Avène Physiolift Contorno De Ojos Antiedad Frasco 15 Ml Frasco,Rellena las arrugas y retensa la piel alrededor del contorno de los ojos.,19,Crema
8,9,Crema Eucerin Anti-Manchas 30 Ml Tubo Dual Serum Facial Eucerin anti-pigment,Ayuda a reducir las manchas de pigmentación de la piel,12,Crema
9,10,Protector Solar La Roche Posay Anthelios Anti Pigmentación Spf 50,Protección solar dermatológica enriquecida con Procerad. Muy alta protección. Amplio espectro. Sin perfume. Para rostro y zonas expuestas. Muy alta protección,20,Crema
